Número,Categoría,Título,Norma y Artículo
1,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ","Informar que SeguroLoTengo.com es marca y canal digital de Interseguros, no aseguradora","Ley 4868/13, arts. 3, 7(a) y 7(d); Ley 827/96, arts. 70-71; Res. SS SG. 223/17, numeral 9(c)   "
2,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Mostrar identidad y contactos de Alianza Garantía e Interseguros   ,"Ley 4868/13, arts. 7(a), 7(d) y 7(m); Res. SS SG. 215/15, numeral 6(a) y Anexo 1, numeral 6.13.20   "
3,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Comercializar solamente productos registrados por Alianza Garantía   ,"Ley 827/96, arts. 10, 14; Res. SS SG. 215/15, puntos resolutivos 7 y 9(a)   "
4,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Mostrar el código de registro del plan   ,"Res. SS SG. 215/15, punto 9(d) y Anexo 1, numeral 6.12.23   "
5,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ","Mostrar coberturas, exclusiones, carencias, límites y costos antes de contratar   ","Ley 1334/98, arts. 4(a), 6(a) y 15; Ley 4868/13, arts. 7(e), 7(k) y 7(l); Res. SS SG. 215/15, Anexo 1, numerales 2 y 6.1-6.8   "
6,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ","Permitir consultar la póliza, las condiciones y los documentos antes de aceptar   ","Código Civil, art. 1348; Ley 4868/13, arts. 7(f), 7(h) y 26(b); Res. SS SG. 215/15, numeral 9(f)   "
7,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ","Explicar pasos, corrección de errores, archivo y mecanismos para resolver controversias   ","Ley 4868/13, arts. 7(i), 8 y 26(a-c)   "
8,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Obtener aceptación expresa; no considerar el silencio como aceptación   ,"Ley 4868/13, arts. 7(r) y 26; Ley 6822/21, arts. 67-69; Ley 1334/98, art. 28(m)   "
9,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Aclarar que la Solicitud de Seguro todavía no constituye una póliza emitida   ,"Código Civil, arts. 1348 y 1355; Res. SS SG. 215/15, Anexo 1, numeral 11.14   "
10,"R1 - IDENTIFICACIÓN, OFERTA E INFORMACIÓN PRECONTRACTUAL   ",Mostrar el premio final con IVA incluido y posteriormente el desglose oficial de Alianza   ,"Ley 4868/13, art. 7(l); Ley 1334/98, art. 15(d); Res. SS SG. 215/15, anexo 1, numerales 12.8 y 6.13.6   "
11,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ",Obtener consentimiento inicial para la contratación y el tratamiento de datos   ,"Ley 4868/13, arts. 6(c) y 7(r); Constitución Nacional, arts. 33 y 36   "
12,"R2 - CONSENTIMIENTO, IDENTIFICACIÓN Y REPUDIO   ","Solicitar el consentimiento comercial por separado, de forma opcional y no premarcada   ","Ley 4868/13, arts. 20, 23 y 30(a)   "
