screen_code,state_code,title,approval_status,approved_for_development,artifact_type,reference_image,sha256
01,portada-y-catalogo-de-productos,Portada y catálogo de productos,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_01_APROBADA_FINAL.png,f4d79d95ede05a2608982bf8a80a24fa9d54670ee4d7fdc846836453f28a0832
01,caratula-catalogo,Caratula catalogo,CANDIDATA,False,runtime_view,assets/screens/candidatas/PANTALLA_01_CARATULA_CATALOGO_CANDIDATA.png,1560775aba1ca83ea770edcffee990045e763c6d21e50449dc5e6b62b636c032
01A,detalle-cookies,Detalle cookies,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_01A_DETALLE_COOKIES_APROBADA_FINAL.png,707f9e96cf2437dcf318b3a192125dd753464748c9693ac08a563816eab78804
01B,confirmacion-salida,Confirmacion salida,APROBADA_FINAL,True,modal,assets/screens/aprobadas/PANTALLA_01B_CONFIRMACION_SALIDA_APROBADA_FINAL.png,d6ef362ed0de74d9e35a2c30f07bb4f755e7864ea14d1537368c1800fe1567af
01B,menu,Menu,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_01B_MENU_APROBADA_FINAL.png,7c51c0a0428ebc8850901012dedee7d1f669a135d1487752f7fbf2bffd5c2d1d
01C,responsabilidades,Responsabilidades,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_01C_RESPONSABILIDADES_APROBADA_FINAL.png,eb1e5049ecdad92b3e8eb064756fec48486402dcb907f73f5e604d4af9aa9c24
01D,contacto,Contacto,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_01D_CONTACTO_APROBADA_FINAL.png,f83447ccfadbc2c850c0883bab0b7f8b452a45d946eeda96896a8b0e3d398632
01E,informacion-legal,Informacion legal,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_01E_INFORMACION_LEGAL_APROBADA_FINAL.png,7f4136a6dfc5cde311d9d2a5afed39f15e9b7bf09c2fbab592a2915c9782909c
02,seleccion-plan,Seleccion plan,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_02_SELECCION_PLAN_APROBADA_FINAL.png,11fea2c6c28a943d479d5f9400efa887825ff315f11e8ce39a0728eec94e62df
02A,coberturas,Coberturas,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_02A_COBERTURAS_APROBADA_FINAL.png,d9c9625e3a1d2f0f94dfa5d2cf3862f06293bd5c673e455f3bdc553d20953105
02B,exclusiones,Exclusiones,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_02B_EXCLUSIONES_APROBADA_FINAL.png,cca4742583d4aa37bd2f271e8da8a1322a6325f74200ab9dc6ca7790a72bce6c
02C,siniestros,Siniestros,APROBADA_FINAL,True,detail_view,assets/screens/aprobadas/PANTALLA_02C_SINIESTROS_APROBADA_FINAL.png,756d35ed741437d5085238bf642301af2c5523478ede18ca77fb7002e8564bdf
03A,00,Verificacion WhatsApp estado inicial,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_00_VERIFICACION_WHATSAPP_ESTADO_INICIAL_APROBADA_FINAL.png,013b7fd6ec63bd3cf6a78b9ecebd69cf9c82140745373619e8591cd5e1e638c9
03A,01A,Autorizacion pendiente,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_01A_AUTORIZACION_PENDIENTE_APROBADA_FINAL.png,dea697594ae87da6d777606c7819f8b094abf8c1ab2bb703dc5148380f442520
03A,01B,Numero invalido,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_01B_NUMERO_INVALIDO_APROBADA_FINAL.png,eecd0386af644c9a60de6b2a514f087f98bc67ec142b3215ae35f2e514a17576
03A,01,Datos listos para envio,APROBADA_FINAL,True,runtime_view,assets/screens/aprobadas/PANTALLA_03A_01_DATOS_LISTOS_PARA_ENVIO_APROBADA_FINAL.png,9da3673b0f15210614291b79dedc5108e317ab3273e949a9e6bf84620444bb25
